sqrt_s,ReOmega_11,ImOmega_11,ReOmega_12,ImOmega_12,ReOmega_21,ImOmega_21,ReOmega_22,ImOmega_22
1.654600,-0.406903,0.649776,0.056809,-0.412475,0.216823,-0.576869,-0.632413,0.940867
1.655610,-0.407249,0.648555,0.057411,-0.411860,0.217392,-0.575803,-0.632817,0.939032
1.656100,-0.407416,0.647963,0.057702,-0.411562,0.217667,-0.575285,-0.633012,0.938142
1.657120,-0.407758,0.646744,0.058300,-0.410946,0.218230,-0.574220,-0.633409,0.936311
1.658800,-0.408318,0.644726,0.059286,-0.409926,0.219157,-0.572456,-0.634059,0.933280
1.660920,-0.409012,0.642185,0.060520,-0.408637,0.220312,-0.570234,-0.634862,0.929464
1.663200,-0.409743,0.639466,0.061831,-0.407253,0.221535,-0.567855,-0.635702,0.925382
1.665320,-0.410411,0.636935,0.063043,-0.405961,0.222660,-0.565639,-0.636466,0.921585
1.667000,-0.410931,0.634934,0.063995,-0.404936,0.223541,-0.563886,-0.637058,0.918582
1.668020,-0.411241,0.633728,0.064567,-0.404318,0.224068,-0.562829,-0.637410,0.916772
1.668510,-0.411391,0.633143,0.064844,-0.404017,0.224323,-0.562317,-0.637579,0.915895
1.669520,-0.411697,0.631938,0.065412,-0.403398,0.224845,-0.561261,-0.637925,0.914089
1.671200,-0.412197,0.629945,0.066348,-0.402372,0.225703,-0.559513,-0.638489,0.911100
1.673330,-0.412817,0.627435,0.067519,-0.401076,0.226773,-0.557312,-0.639184,0.907338
1.675600,-0.413469,0.624750,0.068763,-0.399685,0.227905,-0.554955,-0.639910,0.903314
1.677720,-0.414063,0.622252,0.069912,-0.398388,0.228946,-0.552762,-0.640568,0.899571
1.679400,-0.414526,0.620276,0.070816,-0.397358,0.229760,-0.551026,-0.641077,0.896612
1.680420,-0.414802,0.619085,0.071357,-0.396737,0.230248,-0.549980,-0.641379,0.894829
1.680910,-0.414934,0.618508,0.071620,-0.396436,0.230483,-0.549472,-0.641524,0.893964
1.681930,-0.415206,0.617319,0.072158,-0.395814,0.230966,-0.548428,-0.641820,0.892184
1.683610,-0.415649,0.615352,0.073045,-0.394784,0.231759,-0.546698,-0.642302,0.889240
1.685730,-0.416198,0.612875,0.074155,-0.393484,0.232747,-0.544520,-0.642894,0.885534
1.688000,-0.416773,0.610226,0.075333,-0.392089,0.233791,-0.542189,-0.643510,0.881570
1.690120,-0.417297,0.607761,0.076421,-0.390788,0.234751,-0.540019,-0.644067,0.877885
1.691810,-0.417704,0.605812,0.077276,-0.389757,0.235502,-0.538303,-0.644497,0.874971
1.692820,-0.417946,0.604638,0.077789,-0.389134,0.235951,-0.537268,-0.644751,0.873215
1.693310,-0.418063,0.604068,0.078037,-0.388832,0.236168,-0.536766,-0.644873,0.872364
1.694330,-0.418301,0.602896,0.078547,-0.388209,0.236612,-0.535733,-0.645121,0.870612
1.696010,-0.418690,0.600956,0.079386,-0.387178,0.237342,-0.534024,-0.645524,0.867713
1.698130,-0.419170,0.598514,0.080436,-0.385876,0.238251,-0.531871,-0.646019,0.864065
1.700410,-0.419672,0.595902,0.081550,-0.384479,0.239212,-0.529567,-0.646530,0.860165
1.702530,-0.420128,0.593473,0.082578,-0.383177,0.240094,-0.527423,-0.646991,0.856538
1.704210,-0.420482,0.591552,0.083387,-0.382145,0.240784,-0.525727,-0.647344,0.853671
1.705220,-0.420692,0.590395,0.083871,-0.381523,0.241196,-0.524706,-0.647553,0.851943
1.705720,-0.420793,0.589833,0.084106,-0.381220,0.241395,-0.524210,-0.647653,0.851106
1.706730,-0.420999,0.588678,0.084587,-0.380598,0.241803,-0.523190,-0.647856,0.849382
1.708410,-0.421335,0.586767,0.085379,-0.379566,0.242473,-0.521501,-0.648184,0.846531
1.710530,-0.421749,0.584361,0.086370,-0.378264,0.243306,-0.519375,-0.648585,0.842943
1.712810,-0.422181,0.581788,0.087422,-0.376869,0.244186,-0.517101,-0.648997,0.839107
1.714930,-0.422573,0.579395,0.088392,-0.375568,0.244994,-0.514985,-0.649366,0.835541
1.716610,-0.422875,0.577503,0.089155,-0.374538,0.245625,-0.513312,-0.649647,0.832722
1.717630,-0.423055,0.576364,0.089612,-0.373916,0.246002,-0.512303,-0.649812,0.831024
1.718120,-0.423141,0.575811,0.089833,-0.373614,0.246184,-0.511814,-0.649891,0.830201
1.719130,-0.423316,0.574673,0.090287,-0.372992,0.246557,-0.510808,-0.650051,0.828506
1.720820,-0.423602,0.572792,0.091034,-0.371962,0.247169,-0.509142,-0.650308,0.825704
1.722940,-0.423953,0.570423,0.091967,-0.370664,0.247930,-0.507045,-0.650620,0.822178
1.725210,-0.424318,0.567890,0.092958,-0.369271,0.248733,-0.504802,-0.650937,0.818408
1.727330,-0.424647,0.565535,0.093872,-0.367974,0.249470,-0.502715,-0.651218,0.814904
1.729010,-0.424901,0.563673,0.094590,-0.366946,0.250045,-0.501065,-0.651430,0.812134
1.730030,-0.425051,0.562552,0.095020,-0.366326,0.250388,-0.500071,-0.651554,0.810466
1.730520,-0.425123,0.562008,0.095228,-0.366025,0.250554,-0.499589,-0.651613,0.809657
1.731540,-0.425269,0.560889,0.095655,-0.365406,0.250893,-0.498596,-0.651732,0.807993
1.733220,-0.425507,0.559037,0.096358,-0.364379,0.251450,-0.496955,-0.651921,0.805240
1.735340,-0.425797,0.556707,0.097237,-0.363085,0.252142,-0.494888,-0.652148,0.801777
